C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,bins
0.045871559633027484,0.136861313868613,0.1636661211129295,0.0,0.04975124378109449,0.05197505197505193,0.0,0.0,0.10989010989010979,0.17683465959328012,-0.53
0.13761467889908244,0.18248175182481735,0.1636661211129295,0.056753688989784286,0.09950248756218898,0.05197505197505193,0.0,0.05246589716684151,0.0,0.17683465959328012,-0.51
0.09174311926605497,0.136861313868613,0.08183306055646475,0.11350737797956857,0.04975124378109449,0.05197505197505193,0.0,0.2623294858342075,0.054945054945054896,0.08841732979664006,-0.49
0.09174311926605497,0.18248175182481735,0.327332242225859,0.0,0.19900497512437795,0.0,0.0,0.10493179433368302,0.27472527472527447,0.1326259946949601,-0.47
0.18348623853210994,0.2281021897810217,0.08183306055646475,0.0,0.04975124378109449,0.0,0.043821209465381206,0.05246589716684151,0.21978021978021958,0.1326259946949601,-0.44999999999999996
0.22935779816513868,0.18248175182481838,0.16366612111293039,0.0,0.1492537313432843,0.05197505197505222,0.04382120946538145,0.0524658971668418,0.3296703296703312,0.08841732979664056,-0.42999999999999994
0.045871559633027484,0.41058394160583905,0.5319148936170208,0.0,0.09950248756218898,0.2598752598752596,0.043821209465381206,0.10493179433368302,0.32967032967032933,0.35366931918656025,-0.41000000000000003
0.13761467889908244,0.18248175182481735,0.2454991816693942,0.056753688989784286,0.14925373134328343,0.0,0.043821209465381206,0.0,0.21978021978021958,0.35366931918656025,-0.39
0.045871559633027484,0.136861313868613,0.327332242225859,0.17026106696935284,0.19900497512437795,0.0,0.0,0.10493179433368302,0.32967032967032933,0.22104332449160016,-0.37
0.09174311926605497,0.2281021897810217,0.20458265139116186,0.056753688989784286,0.24875621890547242,0.0,0.08764241893076241,0.0,0.43956043956043916,0.04420866489832003,-0.35
0.13761467889908244,0.136861313868613,0.327332242225859,0.056753688989784286,0.29850746268656686,0.15592515592515577,0.043821209465381206,0.05246589716684151,0.054945054945054896,0.22104332449160016,-0.32999999999999996
0.04587155963302774,0.22810218978102295,0.040916530278232596,0.0,0.3482587064676633,0.15592515592515666,0.04382120946538145,0.1049317943336836,0.1648351648351656,0.26525198938992167,-0.30999999999999994
0.045871559633027484,0.4562043795620434,0.3682487725040913,0.17026106696935284,0.29850746268656686,0.05197505197505193,0.043821209465381206,0.10493179433368302,0.21978021978021958,0.17683465959328012,-0.29000000000000004
0.13761467889908244,0.136861313868613,0.327332242225859,0.056753688989784286,0.3980099502487559,0.05197505197505193,0.08764241893076241,0.31479538300104903,0.16483516483516467,0.22104332449160016,-0.27
0.09174311926605497,0.3193430656934304,0.2454991816693942,0.056753688989784286,0.3482587064676614,0.05197505197505193,0.0,0.15739769150052452,0.0,0.17683465959328012,-0.25
0.13761467889908244,0.136861313868613,0.2864157119476266,0.11350737797956857,0.3980099502487559,0.15592515592515577,0.0,0.05246589716684151,0.0,0.08841732979664006,-0.22999999999999998
0.09174311926605497,0.09124087591240868,0.1636661211129295,0.11350737797956857,0.3482587064676614,0.2598752598752596,0.043821209465381206,0.15739769150052452,0.10989010989010979,0.17683465959328012,-0.20999999999999996
0.0,0.2281021897810217,0.2454991816693942,0.17026106696935284,0.19900497512437795,0.15592515592515577,0.0,0.15739769150052452,0.21978021978021958,0.17683465959328012,-0.18999999999999995
0.09174311926605497,0.18248175182481735,0.1227495908346971,0.22701475595913714,0.3482587064676614,0.20790020790020772,0.043821209465381206,0.10493179433368302,0.16483516483516467,0.08841732979664006,-0.16999999999999993
0.09174311926605497,0.136861313868613,0.20458265139116186,0.17026106696935284,0.3980099502487559,0.3638253638253635,0.043821209465381206,0.10493179433368302,0.10989010989010979,0.17683465959328012,-0.1499999999999999
0.13761467889908244,0.136861313868613,0.20458265139116186,0.22701475595913714,0.3482587064676614,0.3638253638253635,0.08764241893076241,0.36726128016789056,0.16483516483516467,0.35366931918656025,-0.1299999999999999
0.22935779816513996,0.09124087591240969,0.40916530278232827,0.22701475595913967,1.243781094527376,0.5717255717255775,0.1314636283961451,0.20986358866736837,0.32967032967033305,0.5747126436781668,-0.10999999999999988
0.6880733944954123,0.5018248175182478,0.3682487725040913,0.39727582292849,0.8955223880597007,1.3513513513513502,0.39439088518843085,0.2623294858342075,1.1538461538461529,1.4588859416445612,-0.09000000000000008
1.3302752293577969,1.0036496350364956,0.9001636661211122,0.8513053348467643,1.4925373134328344,2.4948024948024923,0.8764241893076241,0.31479538300104903,2.58241758241758,2.5198938992042414,-0.07000000000000006
3.807339449541281,2.3266423357664214,2.373158756137477,1.4755959137343915,2.786069651741291,5.717255717255712,1.44609991235758,0.7869884575026226,4.120879120879118,4.199823165340403,-0.050000000000000044
