C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,x
3.056211829719321e-117,8.579693233894688e-142,5.698798675220402e-98,1.221813710927203e-127,4.208518083156429e-122,1.257210510937487e-138,4.170735743591461e-151,8.406568307674633e-76,5.968346863954567e-98,1.3525278652300894e-102,-1.23
1.915292658578313e-116,6.483950551154657e-141,3.0372179561931477e-97,8.313320540374842e-127,2.7418580303428083e-121,9.287461441894969e-138,3.3687980850259305e-150,3.643858181912857e-75,3.183894899076934e-97,7.517272703223935e-102,-1.228
1.192634644587769e-115,4.86886960349189e-140,1.6083816819491368e-96,5.620365679952953e-126,1.7749300633473045e-120,6.817208228413537e-137,2.703695663277512e-149,1.5693676681757671e-74,1.6876559177188163e-96,4.15142618974594e-101,-1.226
7.379047149149133e-115,3.6327633575820765e-139,8.4629698369091e-96,3.7755057455468177e-125,1.1416633050858055e-119,4.972062859938189e-136,2.156061490209258e-148,6.715965423424553e-74,8.888523100944846e-96,2.278018673285475e-100,-1.224
4.536425044214792e-114,2.693187489667719e-138,4.4246302391156706e-95,2.5200329144292745e-124,7.296512898991564e-119,3.6031901122561724e-135,1.7083820363060363e-147,2.855700892643614e-73,4.651529930905641e-95,1.2420531895745564e-99,-1.222
2.771071842247012e-113,1.9838854114016643e-137,2.2985380027331754e-94,1.6713130573638328e-123,4.633542833587208e-118,2.594527383987302e-134,1.3450219288103387e-146,1.206528259161937e-72,2.418703035618421e-94,6.728931033017168e-99,-1.22
1.6819087329948185e-112,1.452068467427563e-136,1.1864430845217374e-93,1.1013615598246229e-122,2.923691364150082e-117,1.856307228882061e-133,1.0521901918755232e-145,5.065039012019359e-72,1.2496540326766303e-93,3.6222209663631435e-98,-1.218
1.0143262442985991e-111,1.0560345340925652e-135,6.085028902620015e-93,7.211449026826631e-122,1.8330334199539848e-116,1.319659742542735e-132,8.178612813948265e-145,2.1127524132168144e-71,6.415308651353412e-93,1.9374334589926458e-97,-1.216
6.0781791762437936e-111,7.631144231054988e-135,3.10097951141688e-92,4.6917587978423645e-121,1.1419044268338494e-115,9.321688713305422e-132,6.316631815113924e-144,8.7565883415671e-71,3.272395842426559e-92,1.0296785273902018e-96,-1.214
3.619011272732619e-110,5.479257598884424e-134,1.5702024966736836e-91,3.0329784970636036e-120,7.068213275546344e-115,6.542560377412521e-131,4.847434991467013e-143,3.606133295713997e-70,1.6585731256958328e-91,5.437503308054761e-96,-1.212
2.1410508290595625e-109,3.909077589093372e-133,7.900106494242253e-91,1.948154970466803e-119,4.347204288485968e-114,4.562694568202924e-130,3.696229585623831e-142,1.47560165422077e-69,8.352643229145209e-91,2.8531226536847307e-95,-1.21
1.2585910131979978e-108,2.7710692423061028e-132,3.949396555852171e-90,1.2433637050526452e-118,2.6566293657931516e-113,3.161662959996349e-129,2.800440821486637e-141,5.999526920258322e-69,4.179590703774601e-90,1.4875254074671485e-94,-1.208
7.351278647622955e-108,1.9518254679682396e-131,1.9617743680425587e-89,7.8848490950520955e-118,1.6131412756074727e-112,2.176858803023141e-128,2.108212459620292e-140,2.4237364528112177e-68,2.0780887589492933e-89,7.70604246050213e-94,-1.206
4.266401819136535e-107,1.3660138366463e-130,9.682508434798527e-89,4.968314752800639e-117,9.732722787203783e-112,1.4892426482735962e-127,1.5769679506038578e-139,9.729136536981502e-68,1.0266323551631182e-88,3.9666279758067855e-93,-1.204
2.4602613406731197e-106,9.499259058566344e-130,4.748399247040467e-88,3.110608341696048e-116,5.834677000447158e-111,1.0123278495243604e-126,1.1720654761545539e-138,3.880464521974568e-67,5.039486858884917e-88,2.028778452843131e-92,-1.202
1.40968262685488e-105,6.563641922718298e-129,2.313806763621164e-87,1.93509405393734e-115,3.475520062332785e-110,6.837501265464527e-126,8.65568405633194e-138,1.5378488470305537e-66,2.4579791943176286e-87,1.0310289735245846e-91,-1.2
