P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,x
3.34545317451753e-79,9.186456159111559e-102,2.4887884289036205e-15,1.9570821546413857e-86,8.118289877698711e-17,1.6955010856867097e-22,6.434691968760316e-133,1.1394425043422536e-74,2.5678532184155544e-82,1.1895156985788719e-26,-1.2
1.50377441656497e-78,5.0733354797957303e-101,4.594057847503719e-15,9.430516694923014e-86,1.5660800559895162e-16,3.635193333955722e-22,4.565901366146319e-132,4.883713362611163e-74,1.189570255448662e-81,2.772677259905135e-26,-1.198
6.716313253483167e-78,2.783938720612584e-100,8.426077615886934e-15,4.515256587308934e-85,3.0020948486176425e-16,7.744216309779286e-22,3.219184029105664e-131,2.0798329591173194e-73,5.4755868161595395e-81,6.421684703676729e-26,-1.196
2.9805726416955692e-77,1.5179108900732003e-99,1.5355889079155302e-14,2.1480772563148e-84,5.71868908490302e-16,1.6392604396936426e-21,2.255202782427461e-130,8.800904064884047e-73,2.504332092710588e-80,1.4778118738049946e-25,-1.194
1.3142833109934497e-76,8.223437525952772e-99,2.780641453237679e-14,1.0154016718570576e-83,1.0825071425490654e-15,3.4477753729833905e-21,1.5698057237463718e-129,3.700382851463127e-72,1.1380827775910614e-79,3.379168438332062e-25,-1.192
5.758359713016303e-76,4.42670960943236e-98,5.0030579650344704e-14,4.7692091305413824e-83,2.0362347850165395e-15,7.205273839831855e-21,1.0857422376758739e-128,1.545918432893796e-71,5.13897460705693e-79,7.677521548239454e-25,-1.19
2.506854361662905e-75,2.367713686660722e-97,8.944304824893372e-14,2.2257448370693738e-82,3.806171221977516e-15,1.496175512290395e-20,7.461533159015123e-128,6.4172215900846915e-71,2.3056840015721245e-78,1.7332162940010395e-24,-1.188
1.0843760880265858e-74,1.2583395626430129e-96,1.5888326801367468e-13,1.032107414268489e-81,7.0698918814116025e-15,3.0869892588158915e-20,5.0950673460845125e-127,2.6468421515039567e-70,1.0278832772823104e-77,3.887809688179882e-24,-1.186
4.660701359861832e-74,6.644878327159176e-96,2.8043373213747415e-13,4.755486316991684e-81,1.304973832154211e-14,6.328608349538666e-20,3.456943644404092e-126,1.0847498427612769e-69,4.553113967960653e-77,8.665183168408856e-24,-1.184
1.9904127034991292e-73,3.486556683931425e-95,4.918162282111233e-13,2.1771356548073738e-80,2.3936244652708282e-14,1.2891452364299934e-19,2.3305326187535616e-125,4.417247140263079e-69,2.0039826374064236e-76,1.9189824925536732e-23,-1.182
